disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
1361,,,,,66734226.22,7138998.7,54761534.37,2023-11-01T00:00:00.000Z,,18838111,9ffa7059e14219f83229c41465c4fa6478e58fe3,2023-11-01T04:03:22.859Z,84239688-8263-4c62-87b0-a88b19cf1233
1362,,,,,4786803.73,4111602.56,675201.17,2023-11-01T00:00:00.000Z,,106606,ac81ba355391d7d6ed50a5c97244c8a8ae72c6b1,2023-11-01T04:03:22.859Z,69b2c3de-6fe8-4f2c-8fb0-be4c1c136d0f
5467,,,,,,,,,,0,5ba5da0cfe4cd03942004c04f294bf7492e94587,2023-07-06T23:02:58.335Z,36af7f94-d842-4c4c-bac5-7ab68c57b21b
1346,,,,,,,,,,25581719,de80b569ba429dbe71a53c81c5a075ad13e80223,2023-03-18T13:22:12.883Z,4e321bd0-347b-48ba-970e-9e598d5f9945
5468,,,,,,,,,,0,71c10390f28cbe1cf2bf8fde8c26c5b9c0bb246e,2023-07-06T23:02:58.335Z,076fb178-011d-4c46-997f-6139f3dc96db
1363,,,,,3019659.14,103814.9,2934328.57,2023-11-01T00:00:00.000Z,,431125,733dff9e7a4bfeda1bf20ab8891e20345978bb8c,2023-11-01T04:03:22.859Z,c597da78-b95c-455f-961b-76397007a128
1365,,,,,2855252.63,22820.59,2871984.6,2023-11-01T00:00:00.000Z,,417677,7b6c92a5296107e07c07f0719080f920a1d57790,2023-11-01T04:03:22.859Z,caf5be0b-5f54-458e-85ee-78112535b0c4
1366,,,,,2697313.17,912342.82,1767548.6,2023-11-01T00:00:00.000Z,,442317,b711e5dbadf7b2b790900baea370d7c7e5542413,2023-11-01T04:03:22.859Z,5a232f31-7b99-4968-9753-1c8d2299063d
1367,,,,,8618000.36,3601067.84,4689231.55,2023-11-01T00:00:00.000Z,,1876460,9753e273b75d1cc29f049f28f83a082c195ea8a6,2023-11-01T04:03:22.859Z,c247ce1d-764d-47c7-8b5b-0094e69da5a7
1368,,,,,5964308.99,2663455.38,3341706.39,2023-11-01T00:00:00.000Z,,521140,d07059381c848f8606d3e533958b5571e23ee071,2023-11-01T04:03:22.859Z,50e0c1cf-37a3-4c0b-8a6e-f7196d55a2be
1369,,,,,19743137.17,11692409.39,8072012.75,2023-11-01T00:00:00.000Z,,3344251,49f9a0aff82a9162695e1701aea85d23d49811f8,2023-11-01T04:03:22.859Z,991d34f8-f7f4-4891-bb37-1d54e7a3787a
1370,,,,,36227572.27,8928827.59,27261029.27,2023-11-01T00:00:00.000Z,,5117141,5f8c4e991fcf7fcd52cfcc37c1b7d0dbcdbb2965,2023-11-01T04:03:22.859Z,27b6bc51-c898-491d-83f5-dfdb5eb9deca
1371,,,,,1160382.95,164540.76,988792.94,2023-11-01T00:00:00.000Z,,208923,f60ddcd1e18ff8d87125dcf3e7abf3d3637c3d4a,2023-11-01T04:03:22.859Z,2d2badca-be4a-47c8-8206-2df4aded8f01
1372,,,,,5147725.26,1542430.72,3033129.15,2023-11-01T00:00:00.000Z,,310644,b06f787cdf6cbc6458bbbc04047eaf718bfcf9e0,2023-11-01T04:03:22.859Z,8911daea-e578-4c5a-bf54-50e8393dd368
1373,,,,,2982075.51,45727.81,2934671.07,2023-11-01T00:00:00.000Z,,415221,1c28ec87752ecf9fed364f1ce80b617911399853,2023-11-01T04:03:22.859Z,1954a13b-b330-40c4-9bfc-6ae03dabda4f
1374,,,,,4621871.5,30085.44,4645199.75,2023-11-01T00:00:00.000Z,,492411,b30d50cbbb0d09f66de2763c6c951022a527eddd,2023-11-01T04:03:22.859Z,00ef5773-09df-4476-8252-3fa29ad7cb5c
1359,,,,,,,,,,273677,5845eedae8cd1037244b821ebfd414e10528e720,2023-03-18T13:22:12.883Z,d4887a6f-6413-42ac-97e5-59435e2fc568
